id,lat,lon,x,y,diam
03-1-119493,-42.2354,-159.574,-4838818.32058323,-1280718.8345041228,5241.54
02-1-179774,59.6789,-142.245,-4313344.9810831435,1809664.1976277747,3391.79
06-1-050509,23.3007,54.7584,1660458.1518657468,706555.2912279798,4727.64
02-1-149113,45.6075,-158.695,-4812164.095560402,1382972.2044693974,3503.73
03-1-080018,-27.6762,-178.461,-5411535.44004414,-839235.111008846,7241.86
09-1-027938,-6.41765,113.475,3440942.1893803626,-194604.6498495429,9870.85
09-1-159301,-44.6973,110.552,3352307.0360905738,-1355371.8909133365,3222.67
08-1-017906,5.65389,105.502,3199174.1164486185,171444.8877295945,5354.969999999999
09-1-164069,-45.7531,91.3394,2769716.633731559,-1387387.2842911538,6695.700000000001
02-1-073061,19.7323,-150.406,-4560813.843894627,598349.4475744447,8302.73
08-1-064688,16.7301,142.163,4310858.466348363,507312.68493106327,3288.65
08-1-002712,0.0817967,100.61,3050832.2861736794,2480.349997639028,5770.0
04-1-011680,6.77829,-9.76600000000002,-296137.8402422444,205540.4629465082,3250.61
02-1-038057,10.2721,-107.013,-3244992.6989395083,311484.4878919059,6829.55
03-1-031560,-11.1075,-150.272,-4556750.51493779,-336816.61483624036,9710.84
03-1-159892,-59.3375,-162.071,-4914535.72659233,-1799311.80579297,4219.26
05-1-016898,-6.61192,-4.704000000000008,-142641.0403951994,-200495.56713644243,3094.2
02-1-158111,49.6243,-107.476,-3259032.41018589,1504775.038453121,4991.29
02-1-122749,35.5148,-152.697,-4630284.639716353,1076927.725643584,3761.26
04-1-095094,49.182,-76.644,-2324102.869908513,1491363.0205605198,3039.7599999999998
02-1-008093,1.91762,-161.855,-4907985.882900714,58148.663240357535,3136.65
06-2-018825,49.3219,70.4625,2136659.079261633,1495605.2572848583,3410.37
07-1-110380,-29.1947,52.7771,1600378.4976703795,-885281.1186279169,5059.55
08-1-116194,28.1797,102.096,3095892.7849039654,854502.9179474051,3707.2799999999997
03-1-025421,-8.42027,-142.287,-4314618.561800957,-255330.79787595314,3496.62
08-1-112531,28.3694,175.297,5315592.359302131,860255.2575228664,3802.29
07-1-104229,-27.8111,68.1385,2066187.6128759093,-843325.7309810636,4546.2300000000005
07-1-066297,-19.0574,6.08777,184601.5830116245,-577884.2183731864,4164.0
05-1-083944,-38.5035,-84.42399999999998,-2560018.5362083954,-1167555.1230562394,4107.78
07-1-179515,-45.9935,15.2356,461994.43772217183,-1394677.0177331192,5529.8
